event_id,user_id,device_model,os_type,roaming_status,network_type,event_time,location,event_type,is_fraud
65320dc8-e9ad-44b7-b645-07cdeea077f5,8895751229451.0,Samsung Galaxy S22,iOS 16,True,WiFi,2023-12-22 13:21:54,"54.2450,113.0615",app_launch,False
cb64b297-16dc-4ef7-a5e3-b16f5db304c3,7447502899693.0,Oppo F21,iOS 15,True,4G,2023-10-28 18:32:50,"31.2602,91.3589",SIM switch,False
82f3a280-59fd-464f-9248-418fdc076839,9352375214527.0,Vivo V25,iOS 15,True,WiFi,2023-08-13 04:05:10,"-76.4023,-8.5953",location_change,False
a6996973-6431-41c7-8b00-8d672beadd37,8127257625836.0,Pixel 7,Android 13,False,4G,2023-10-17 23:13:51,"39.1362,-104.7381",power_on,False
a214a0be-4d9d-46ab-b0d6-9d7c2dcb15f2,9497361957131.0,Oppo F21,Android 13,True,WiFi,2023-03-27 12:17:27,"32.2027,83.6421",,False
6f64ba38-e91c-4801-bea2-9e9e1b4a6d07,2605817292422.0,,iOS 15,True,2G,2023-03-25 02:42:54,"-83.3894,-99.1551",app_launch,False
2a8f4d93-9866-4ccb-bd1e-212116261913,3403102134543.0,Pixel 7,Android 11,False,4G,2023-11-26 15:01:10,"-56.2381,49.9675",app_launch,False
9d66ed92-63d8-4a97-bf2f-718ce23b6319,3814785005451.0,Oppo F21,Android 13,True,5G,2023-08-19 03:06:42,"51.2451,-104.9303",app_launch,False
d90d0af0-620e-4564-be7d-751a68fd2bda,2749836570262.0,Pixel 6,Android 12,True,5G,2023-02-25 21:01:38,"-13.7712,169.7228",location_change,False
eeafb105-6b3c-45cb-9855-9bb306ab6f5d,5471405569832.0,Vivo V25,iOS 16,False,3G,2023-05-16 21:06:49,"40.1368,-88.0211",location_change,False
da4f68bb-0b5d-4a33-9b85-f35b2267e88e,3325568223190.0,Oppo F21,Android 11,False,,2023-02-16 22:58:46,"-72.1664,-156.0746",SIM switch,False
8cf7da63-621a-49df-bbdd-4ede8035cc09,4556696680098.0,Vivo V25,Android 12,True,WiFi,2023-05-20 00:23:58,"52.1567,-54.1561",SIM switch,False
d92b7b70-a5d4-4c49-a31c-c7361e192b6a,6621385567446.0,Vivo V25,Android 11,True,WiFi,2023-07-28 05:03:48,"43.5631,-177.8660",app_launch,False
0a0d7f49-545b-4951-9e45-639e126d34f2,3945085273693.0,Pixel 6,Android 13,True,5G,2023-12-12 10:14:15,"-58.7524,53.0330",power_on,False
390d319d-f7ad-4664-beec-b9ca0cc51f27,8434435264642.0,Realme GT,iOS 16,False,3G,2023-07-01 20:18:35,"45.9774,141.3286",location_change,False
3062e4f1-6059-495c-84c0-0de6702c2240,2623632453305.0,Realme GT,iOS 16,False,5G,2023-10-06 00:46:15,"-74.6077,103.0767",app_launch,False
