downstream_data,remote_ip,protocol,tx_bytes,event_timestamp,subscriber_id,bytes_sent,destination_domain,destination_ip,vpn_usage,conn_protocol,service_protocol,server_ip,vpn_detected,time_spent,is_vpn,transport_protocol,session_duration,user_id,timestamp,customer_id,dest_port,access_time,encrypted_tunnel,ip_dst,download_bytes,upstream_data,bytes_received,port,duration,upload_bytes,server_port,remote_port,url,msisdn,is_fraud,rx_bytes,connection_time,host,domain
,,UDP,3537,,,,fileshare.cc,184.214.112.229,False,,,,,,,,,4844398147930,,,53047,,,,,,44128,,1394,,,,,,False,,2023-04-30T18:23:57.000Z,,
,,,,29/05/2023 02:54:18,,,,,True,TCP,,117.186.83.189,,,,,,5010044591513,,,,,,,,,49745,43921,,4020,,,,,False,,701,,youtube.com
,,HTTPS,,,3514526621865,,,,,,,192.219.204.185,,,,,193,,16/05/2023 05:05:01,,,,True,,89202,2514,,,,,65375,,,,False,,,twitter.com,
,77.101.78.191,DNS,329,,,,,,,,,,,,,,,,2023-09-14T06:30:16.000Z,5633065750027,,,False,,47586,,,,,,35349,,,,False,,2454,,youtube.com
,,,,06/09/2023 14:31:36,,,,116.61.126.115,,,,,True,,,UDP,30,4537721043548,,,1379,,,,,974,,,,,,,,,False,4127,,,flipkart.com
,,,,,8448994987743,1245,,187.173.55.127,,,,,,,,HTTPS,1895,,,,,2023-07-30 17:00:13,True,,,,72142,,,,,35147,youtube.com,,False,,,,
,,,,05/16/2023 16:33:58,7871884575560,,,,True,,,188.249.79.97,,,,DNS,,,,,63486,,,,,,,,1285,9581,,,amazon.in,,False,69625,,,
32028,,TCP,,16/05/2023 14:24:36,5197532457626,,,238.37.4.234,,,,,True,2073,,,,,,,,,,,,5728,,36897,,,,,,,False,,,,facebook.com
56067,,UDP,,,,,,232.26.47.216,,,,,,,True,,,4704859533483,,,,,,,,,,,1073,7249,,,,,False,,06/25/2023 07:24:45,,twitter.com
,,HTTPS,,,,,netflix.com,,,,,,,,True,,,7219554139843,,,48272,,,,,4075,91927,,,,,,,,False,,3540,,
67043,,,,,,,twitter.com,8.59.133.91,True,,TCP,,,1416,,,,,,7177361804376,,,,,,5149,,64458,,,,,,,False,,1700917368,,
57964,,,,,8079507048708,,,,,HTTP,,,,,,,,,,,,,False,171.194.89.154,,5289,,,3219,,,,netflix.com,,False,,2023-12-23T10:45:52.000Z,,
,,,,,,,,,False,TCP,,,,,,,3525,5303755717008,,,9672,,,162.99.196.253,28693,,,,,1756,,,,,False,,2023-09-01 22:15:20,flipkart.com,
,183.146.120.139,,,,,,,,,,,,,1569,,UDP,,,,,,24/09/2023 17:38:37,False,,,,,,,3515,,58526,facebook.com,5877526615983,False,53434,,,
,,,454,,,,,,,TCP,,172.207.84.239,False,,,,,,1684578125,,,,,,,,,64273,,,,,fileshare.cc,4858977561465,False,56189,2425,,
,244.126.102.10,,,2023-06-29 08:09:49,1917144821246,,,,,TCP,,,,893,,,,,,,,,True,,,4208,22002,,,,,15634,,,False,,,fileshare.cc,
,,,,,,,,,,,HTTP,166.174.6.215,,,False,,,1724915898950,1687874027,,,,,,,,96190,,3395,2516,,6917,,,False,,,instagram.com,
,55.181.132.174,HTTP,1412,1687375961,,,,,,,,,,,,,,,,,39070,,True,,53281,,,,,,,,,7668659091022,False,,2117,instagram.com,
68775,65.118.61.98,,,,,,,,,,,,,,,UDP,3026,,10/09/2023 12:02:37,,48686,,True,,,9669,,,,,,,,8483309456386,False,,,,flipkart.com
,,TCP,,,9256148371025,,,65.244.58.33,,,,,,,,,,,,,,,False,,32540,4988,,,3323,,4856,,,,False,,09/03/2023 16:02:13,,netflix.com
,,,,2023-05-03T06:19:42.000Z,,9673,,,,HTTPS,,,True,,,,,,,,,,,,25938,,,,957,,,18882,youtube.com,3762012668852,False,,,,
99135,,,4425,,,,flipkart.com,,,,,,,,,DNS,,5792937298664,1694700576,,,,False,,,,,,85,,15003,,,,False,,,,
,81.129.165.59,,,,,898,,,,TCP,,,,,False,,,,2023-12-06T14:34:48.000Z,,,,,,47429,,,,,,,26489,fileshare.cc,6070189432535,False,,2223,,
,,HTTP,,,,,,,,,,234.58.236.60,,,True,,,,,1242884004126,,2023-10-10 14:51:16,,,31956,,,,1120,7915,,10091,,,False,,,zoom.us,
,83.96.122.196,HTTP,,,,,,,,,,,True,,,,,7070869019666,,,,,,,,6256,,,,,50827,,amazon.in,,True,87001,2889,,
,,,,2023-11-16 14:28:18,,,,,,,UDP,220.194.162.249,,1178,,,,6953962936432,,,,,True,,,,12913,2353,,1490,,,,,False,,,,instagram.com
,159.123.254.73,,,,,,,,,HTTP,,,,3296,,,,4168794742374,,,,,False,,20716,,,,,4722,41806,,,,False,,2023-03-29 06:22:26,,snapchat.com
,,,,2023-12-25 10:44:56,,,,145.25.254.146,,,,,,,False,HTTP,,,,6203674193917,,,,,,,,,779,2250,,15082,,,True,82252,,amazon.in,
1834,120.38.72.115,,,,3894079842969,,,,,,HTTPS,,,,True,,3296,,05/12/2023 17:32:36,,,,,,,,,,,1489,,47463,,,False,,,instagram.com,
,,DNS,,,,,,30.49.120.69,,,,,,,,,,,,,,,False,,,,64149,,,6807,,24315,,3050453017563,False,,3041,,facebook.com
19350,,,3827,,,,,,,DNS,,,True,,,,,,,,,21/08/2023 03:20:15,,13.170.124.64,,,,,885,,13449,,,3151642064864,False,,,snapchat.com,
84333,,UDP,,,,,,,True,,,,,,,,,,,5665082865198,7147,1674774414,,17.243.229.185,,,,,,8553,,,,,False,,178,,twitter.com
,,,,2023-07-15T21:45:01.000Z,,3753,,,,DNS,,,,,True,,881,6719660143946,,,,,,155.220.50.58,59451,,,42659,,,,,facebook.com,,False,,,,
,,TCP,1707,,,,,,,,,,,,False,,,,,3288409124029,,2023-10-12T02:11:01.000Z,,172.62.210.181,,,27894,61678,2460,,,,twitter.com,,False,,,,
74405,,,,,,,netflix.com,,,HTTPS,,103.35.72.15,,,True,,,6978257482247,,,,,,,,,,34766,645,5324,,,,,False,,29/06/2023 00:13:20,,
,,,,,,,,,True,,,79.23.112.202,,3144,,HTTP,,8560624947078,,,,,,,15739,4196,,,,,,,flipkart.com,,False,,2023-02-26T10:18:45.000Z,,
51883,,HTTPS,,,,6570,,,,,,,,997,,,,,1703958504,8114928575066,,,False,6.166.87.235,,,,,,,,60279,facebook.com,,False,,,,
60531,115.165.161.77,,,,,,,,,,HTTP,,True,,,,,4114174929455,,,30732,1700310564,,,,,,,2423,8322,,,,,False,,,snapchat.com,
