event_id,user_id,device_model,os_type,roaming_status,network_type,event_time,location,event_type,is_fraud
,,Samsung Galaxy S22,,,WiFi,,,,False
,,,,,,,"31.2602,91.3589",,False
59a29b35-c163-4b3f-8d85-430a657f7183,,,,True,,,,,False
,,,,,4G,,,,False
5fa09acf-6786-4187-87b3-3ad45948cfe0,9497361957131,,,,,,,,False
39009fa2-9d10-42e6-ba42-1666713735b0,,,,True,2G,,,app_launch,False
,,,Android 11,,,2023-11-26 15:01:10,,,False
,3814785005451,,,,5G,,,,False
,2749836570262,,,,,,,,False
,,,,False,,,,location_change,False
794eb774-44fe-4d6e-8e64-2a4739b2948a,,,,,,,,SIM switch,False
,,,,,,,"52.1567,-54.1561",SIM switch,False
,6621385567446,Vivo V25,,,,,,,False
,,,,,,,,,False
,,,iOS 16,False,,2023-07-01 20:18:35,"45.9774,141.3286",,False
0fcfb18f-cdc4-4615-a218-6072bebd0e05,,,iOS 16,,,2023-10-06 00:46:15,,,False
,,,Android 13,,,,"75.5901,100.0937",,False
,,,,,,,,,False
,,Realme GT,,,,,,,False
,,,,,,,,,False
,,,,,5G,,"-18.8799,36.6193",power_on,False
e3e25a4b-ee4e-4056-a13c-761acffb6117,,,,,,,"-86.1837,-177.2718",power_on,False
,3313612784009,Realme GT,,,,,,,False
,,,,,,2023-07-09 19:46:00,,,False
,,Pixel 6,,False,5G,,,,True
,,,,,,,"28.5591,90.6108",,False
,2641689574702,,,,,2023-10-19 22:23:08,,,False
1582e18b-8294-48f6-9252-d8841a76bd80,,,,,,,,,False
71989343-a83a-4ba3-a6e8-3ca3bbaabb44,2763071848630,,,,,,"78.0027,76.1429",power_on,False
,,,,,,,,,False
01513da6-0706-4e62-a042-78d67557451c,,Oppo F21,,False,2G,,"69.3258,155.3752",,False
,,Pixel 7,,True,,,,,False
,,,,,4G,,,,False
,,,,,,,,app_launch,False
829442a5-c660-4824-9e90-fc5c8bb8d3b8,2037431748073,,,,,,,,False
06b58c19-33eb-443c-a37e-03abefd879eb,,OnePlus 10,,,,2023-01-04 19:00:00,"67.4751,23.0334",,False
,3017147562835,Vivo V25,,,,,"-34.3221,47.3908",SIM switch,False
963baa67-fc21-407e-ab86-19fe3b4778dd,,,,True,,,"-36.7232,163.6112",location_change,False
,2237783571747,OnePlus 10,,,,,,,True
,,Xiaomi Mi 11,,,,,,,False
7c9817fb-f4bc-44f7-8418-7144b1fa7c20,,,,,,,,,False
,,Samsung Galaxy S22,Android 11,True,,,"48.7773,-130.2647",app_launch,False
,,,,True,,,,,False
5981887d-2905-44c8-9f57-1caaddcdcb17,3624567665062,Pixel 7,Android 13,,,,,,False
2c546ce6-6aba-4899-adb5-aba807b05164,,iPhone 14,iOS 16,,WiFi,,,app_launch,False
2b6efd08-b602-4b08-be54-6151bed37ad1,,,,,,,,,False
,,,,,,2023-10-20 00:05:10,"-79.4297,68.8057",,False
fdd7ba93-add8-48a7-b3f2-58a16dc77957,7606507320594,,Android 11,True,3G,2023-06-28 16:25:14,,,False
,,,,,,,,,False
d6f7c7e4-4102-4eb0-9df3-582e05d5fc36,,iPhone 13,,,,,"53.2437,128.4216",SIM switch,False
5fce3610-3b9c-4afa-ad04-4fe6d0c4dff0,,OnePlus 10,Android 12,False,,2023-12-23 08:11:47,"-28.9391,159.1747",,False
,9889607137082,,,False,,,,,True
,,,,,3G,,"86.6136,140.5700",,False
,,,,,WiFi,2023-05-21 08:15:03,"-8.1683,21.7106",SIM switch,False
,,OnePlus 10,,,,,,location_change,False
,,,,False,,2023-10-22 16:28:37,"74.0324,27.5744",,False
,,Pixel 6,,,2G,2023-08-23 20:50:57,,,False
,,,,,,2023-09-08 20:14:04,"-26.8024,18.8616",,False
54aaebdf-b4d4-4ad8-bc36-4feae81b8316,,,,,,,,location_change,False
,6202137365684,,,,,,,location_change,False
,6963967331335,,,,,,"21.3142,-65.0459",,False
,,Realme GT,Android 13,True,,,,power_on,False
,,,,,5G,2023-06-28 16:53:28,,location_change,False
,,iPhone 13,,True,5G,,,,False
,3622334220662,,iOS 16,,,,,,False
50ce5a30-c108-4b09-96ea-c9ae8d1d40d3,5720472485675,Vivo V25,,,,,,,False
,,,,,5G,,,,False
,7161228481431,,,False,,,,,False
,,,Android 12,,,,,,False
,,,,,,,"-71.5434,112.0842",,False
