user_id,timestamp,domain,ip_dst,port,protocol,duration,bytes_sent,bytes_received,vpn_usage,is_fraud
,,fileshare.cc,,53047,UDP,,3537,,False,False
,2023-05-29 02:54:18,,,,,,,,True,False
3514526621865,,,,,HTTPS,,,,,False
,,,77.101.78.191,,DNS,,329,,,False
,2023-09-06 14:31:36,,,1379,,,,,,False
8448994987743,,,,,,,,,,False
7871884575560,2023-05-16 16:33:58,,,63486,,,,,True,False
5197532457626,2023-05-16 14:24:36,,,,TCP,2073,,32028,,False
,,,,,UDP,,,56067,,False
,,netflix.com,,48272,HTTPS,,,,,False
,,twitter.com,,,,1416,,67043,True,False
8079507048708,,,,,,,,57964,,False
,,,,9672,,,,,False,False
,,,183.146.120.139,,,1569,,,,False
,,,,,,,454,,,False
1917144821246,2023-06-29 08:09:49,,244.126.102.10,,,893,,,,False
,,,,,,,,,,False
,2023-06-22 01:02:41,,55.181.132.174,39070,HTTP,,1412,,,False
,,,65.118.61.98,48686,,,,68775,,False
9256148371025,,,,,TCP,,,,,False
,2023-05-03 06:19:42,,,,,,,,,False
,,flipkart.com,,,,,4425,99135,,False
,,,81.129.165.59,,,,,,,False
,,,,,HTTP,,,,,False
,,,83.96.122.196,,HTTP,,,,,True
,2023-11-16 14:28:18,,,,,1178,,,,False
,,,159.123.254.73,,,3296,,,,False
,2023-12-25 10:44:56,,,,,,,,,True
3894079842969,,,120.38.72.115,,,,,1834,,False
,,,,,DNS,,,,,False
,,,,,,,3827,19350,,False
,,,,7147,UDP,,,84333,True,False
,2023-07-15 21:45:01,,,,,,,,,False
,,,,,TCP,,1707,,,False
,,netflix.com,,,,,,74405,,False
,,,,,,3144,,,True,False
,,,,,HTTPS,997,,51883,,False
,,,115.165.161.77,30732,,,,60531,,False
,2023-09-16 23:31:29,,,18540,,215,,,,False
,,instagram.com,244.109.174.248,,,,,69023,,False
6014849321798,,zoom.us,,,HTTPS,3188,,,,False
,,,129.191.120.197,,,,5503,,,False
,,,,,,,2362,,,False
,,,,,HTTPS,1961,,59998,True,False
,,,,,DNS,,,23662,False,False
,2023-02-08 23:12:40,,,,,967,,74359,,False
,,twitter.com,199.133.228.109,,,,,,True,False
,,,95.239.66.44,26094,,,,,,False
7086937045938,,,,,,,,,,False
2281848211445,2023-12-19 02:10:52,,,,,536,,,,False
,,,,3189,,,,,,False
,,,,,,,,,,False
1295561390695,,,,,,,7881,82457,,False
,,,,,,,4341,,,False
,,,168.131.245.109,,,,,,,False
,2023-05-27 23:30:59,,,,,1627,3062,,,False
,2023-11-28 09:22:00,,,,,,,18440,,False
,,,241.151.188.113,,,,,,,False
,,,,,,,,55544,,False
,,,,47701,,1223,,,,False
,,,,60057,,,,,,False
,2023-10-03 17:14:25,,182.73.237.29,,,995,5421,,,False
,2023-04-08 04:16:16,,,50825,,1472,,65189,,False
,,,,42055,,,,,,False
,,,,47330,,,,,,False
,,,,,,1357,,,,False
,,,,28646,,3150,,42788,,False
,2023-07-14 23:04:46,,,,UDP,,,,False,False
,,,,,UDP,,,,,False
,,,,,,,9022,95327,,False
